epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5409.45,1.32646,1.56466,1.27031,0.60813,0.4905,0.51786,0.31705,1.36355,1.39849,1.30164,0.000475349,0.000475349,0.000475349
2,11020.9,1.56454,1.70341,1.42208,0.56703,0.50681,0.4989,0.2875,1.47708,1.56493,1.38293,0.000932839,0.000932839,0.000932839
3,16178.3,1.58877,1.721,1.45424,0.56865,0.48245,0.48982,0.29044,1.47655,1.63335,1.37953,0.00137147,0.00137147,0.00137147
4,21175.4,1.54374,1.65125,1.42443,0.6124,0.51366,0.53978,0.32645,1.39782,1.34153,1.34971,0.00134412,0.00134412,0.00134412
5,26144.2,1.48282,1.54243,1.38639,0.7141,0.52062,0.5829,0.37037,1.28515,1.19487,1.25762,0.00131582,0.00131582,0.00131582
6,31194.5,1.43731,1.44562,1.35017,0.69203,0.51324,0.57463,0.3674,1.27581,1.1885,1.24585,0.00128753,0.00128753,0.00128753
7,36276.8,1.40414,1.39184,1.33048,0.69322,0.57539,0.61471,0.3923,1.27842,1.11291,1.24052,0.00125923,0.00125923,0.00125923
8,41356.9,1.37449,1.34943,1.31212,0.69134,0.57451,0.61647,0.40532,1.22403,1.07814,1.21642,0.00123094,0.00123094,0.00123094
9,46454.2,1.33687,1.29306,1.30028,0.69732,0.58982,0.6362,0.42184,1.18354,1.01285,1.18793,0.00120265,0.00120265,0.00120265
10,51459.1,1.3202,1.27203,1.28374,0.67982,0.60127,0.62952,0.41973,1.15903,1.02136,1.18801,0.00117435,0.00117435,0.00117435
11,56685.9,1.3004,1.2275,1.27033,0.69542,0.60981,0.64876,0.43815,1.14061,0.95799,1.17526,0.00114606,0.00114606,0.00114606
